#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
87,Aswan SC,Mohamed Hamdy Zaki,6.95,2,1,361,174,535,67.48,133,233,135,22,5,22.73,12,35.29,0
88,Ghazl El Mahalla,Mostafa El Aash,6.95,1,0,1278,349,1627,78.55,813,468,161,7,3,14.29,142,47.18,0
89,Pyramids FC,Mostafa Fathy,6.95,6,4,608,200,808,75.25,170,455,265,31,17,22.37,40,51.95,0
90,El Dakhlya,Ahmed El Amour,6.95,0,0,121,26,147,82.31,83,38,9,0,0,0.0,15,60.0,0
91,National Bank of Egypt,Mohamed Abou Gabal,6.95,0,0,394,247,641,61.47,309,85,22,0,0,0.0,156,39.39,0
92,Pharco FC,Abdallah Bakri,6.95,0,0,758,231,989,76.64,511,247,61,3,0,0.0,90,39.82,0
93,Zamalek SC,Nabil Donga,6.95,0,0,988,162,1150,85.91,435,555,231,12,2,28.57,101,71.63,0
94,Zamalek SC,Mostafa Shalaby,6.95,1,3,525,151,676,77.66,132,409,216,28,16,20.25,14,45.16,1
95,Ghazl El Mahalla,Himid Mao Mkami,6.94,1,0,1021,226,1247,81.88,552,469,164,18,0,0.0,116,61.05,0
96,Al-Masry,Islam Abou-Salima,6.94,0,0,740,188,928,79.74,474,266,71,2,0,0.0,99,54.4,0
97,Zamalek SC,Mahmoud Shabana,6.94,0,0,246,174,420,58.57,165,82,25,2,1,33.33,27,21.95,0
98,Tala'ea El-Gaish,Mahmoud Wadi,6.94,1,2,153,100,253,60.47,59,94,55,13,0,0.0,4,40.0,0
99,Zamalek SC,Mohamed Sobhi,6.93,0,0,358,149,507,70.61,301,57,28,2,0,0.0,128,47.58,0
100,Modern Future FC,Marwan Mohsen,6.93,3,2,212,98,310,68.39,65,148,95,19,1,20.0,10,50.0,1
101,Zamalek SC,Hamza Mathlouthi,6.93,1,0,939,226,1165,80.6,540,408,158,16,9,20.93,83,47.16,0
102,Smouha,Sherif Reda,6.93,4,2,501,227,728,68.82,212,329,150,29,40,25.64,47,39.5,0
103,Ismaily,Mohamed Hassan,6.93,5,3,535,170,705,75.89,222,317,147,16,4,28.57,66,57.39,0
104,National Bank of Egypt,Mohamed Helal,6.92,3,2,546,214,760,71.84,224,360,188,33,38,33.33,32,42.11,0
105,Al-Ittihad Alexandria,Sabri Raheel,6.92,8,2,845,246,1091,77.45,391,494,205,25,40,24.39,54,38.57,0
106,Pyramids FC,Mohamed Hamdi,6.92,2,0,1184,267,1451,81.6,588,614,250,24,18,20.22,54,45.38,0
107,Haras El Hedoud,Mohamed Fawzi,6.92,0,0,308,375,683,45.1,156,152,49,2,0,0.0,197,34.99,0
108,Haras El Hedoud,Mahmoud Ben Wali,6.92,1,1,539,206,745,72.35,386,153,42,2,0,0.0,60,38.46,0
109,Al-Ittihad Alexandria,Hisham Salah,6.91,1,1,801,305,1106,72.42,446,383,168,23,28,24.14,65,34.03,0
110,Pyramids FC,Ahmed Samy,6.91,0,0,1278,171,1449,88.2,858,420,107,2,0,0.0,98,59.04,0
111,Al Ahly FC,Khaled Abdelfattah,6.91,1,1,520,187,707,73.55,271,260,118,12,11,21.15,30,31.58,0
112,Al-Mokawloon,Ahmed Atef,6.91,3,2,375,157,532,70.49,118,268,142,28,11,23.4,27,37.5,0
113,Ismaily,Ahmed Adel,6.91,0,0,84,53,137,61.31,61,23,11,0,0,0.0,34,39.53,0
114,Ceramica Cleopatra,Ahmed Yasser Rayan,6.91,4,1,300,153,453,66.23,73,228,153,21,1,14.29,13,38.24,0
115,Pyramids FC,Karim Hafez,6.91,3,1,383,65,448,85.49,192,203,85,11,12,41.38,28,50.0,0
116,Tala'ea El-Gaish,Ahmed Samir,6.91,3,6,538,153,691,77.86,174,378,181,38,14,18.67,23,42.59,0
117,Pharco FC,Rami Sabri,6.91,0,0,459,149,608,75.49,348,111,44,1,0,0.0,61,42.96,0
118,Haras El Hedoud,Ahmed Shedid Kenawi,6.90,1,1,811,282,1093,74.2,306,542,287,38,37,23.13,53,34.64,0
119,Al-Mokawloon,Ahmed Alaa Eldin,6.90,1,2,752,408,1160,64.83,405,348,137,10,1,16.67,134,36.31,0
120,Pharco FC,Rezki Hamroune,6.90,3,2,340,101,441,77.1,124,239,115,27,23,24.73,5,41.67,0
121,Ceramica Cleopatra,Seif Teka,6.90,0,0,546,126,672,81.25,369,178,50,1,1,100.0,48,43.64,0
122,Al-Ittihad Alexandria,Omar Fathy,6.90,1,1,2,1,3,66.67,0,2,2,1,0,0.0,0,0.0,0
123,Pyramids FC,Ahmed Fathi,6.90,2,1,401,90,491,81.67,237,168,53,6,4,25.0,36,46.75,0
124,Ismaily,Abdallah El Saeed,6.90,0,0,6,2,8,75.0,5,1,1,0,0,0.0,0,0.0,0
125,El Dakhlya,Salah Yehia,6.90,0,0,1,1,2,50.0,0,1,0,0,0,0.0,0,0.0,0
126,Ismaily,Mostafa Fares,6.90,0,0,29,8,37,78.38,12,18,9,1,1,50.0,2,50.0,0
127,National Bank of Egypt,Ahmed Sobhi,6.90,0,0,84,33,117,71.79,77,7,3,0,0,0.0,20,37.74,0
128,Ceramica Cleopatra,Ahmed Hany,6.90,2,0,397,111,508,78.15,174,228,103,9,5,13.16,19,51.35,0
129,Aswan SC,Raphael Ayagwa,6.90,1,0,852,281,1133,75.2,469,385,133,11,2,20.0,83,46.63,0
130,Aswan SC,Mido Mostafa,6.90,1,2,847,348,1195,70.88,445,411,214,23,9,16.36,68,37.16,0
131,Ismaily,Baher El Mohamady,6.90,0,0,867,243,1110,78.11,570,298,82,4,1,25.0,137,52.09,0
132,Ismaily,Abdel Rahman Magdi,6.89,8,4,385,143,528,72.92,109,285,169,23,9,16.07,36,56.25,0
133,ENPPI,Ali Fawzi,6.89,5,1,520,249,769,67.62,194,373,181,33,47,23.38,55,39.86,0
134,Al-Masry,Imadeddine Boubekeur,6.89,1,1,627,194,821,76.37,451,176,45,6,0,0.0,59,43.7,0
135,Al Ahly FC,Kahraba,6.89,2,0,91,55,146,62.33,22,70,44,7,1,33.33,3,30.0,0
136,ENPPI,Ahmed El Agouz,6.89,1,1,491,136,627,78.31,250,242,105,5,1,50.0,50,57.47,0
137,Al-Ittihad Alexandria,Abdallah Nasib,6.89,0,0,284,67,351,80.91,235,49,10,0,0,0.0,18,35.29,0
138,Al-Mokawloon,Abdelrahman Khaled Gebna,6.89,3,1,375,134,509,73.67,111,280,144,26,16,24.62,34,54.84,0
139,Al-Ittihad Alexandria,Khaled El Ghandour,6.89,4,0,718,146,864,83.1,256,479,222,27,17,25.0,55,52.38,0
140,Zamalek SC,Ibrahima Ndiaye,6.89,0,0,239,71,310,77.1,84,158,81,11,3,23.08,18,81.82,0
141,National Bank of Egypt,Mahmoud El-Gazzar,6.88,0,0,825,181,1006,82.01,611,215,52,5,1,50.0,92,48.42,0
142,National Bank of Egypt,Mahmoud Kaoud,6.88,4,1,571,195,766,74.54,250,328,183,25,7,21.88,38,52.05,0
