#,Team,Name,Average Sofascore rating,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets
232,Al Ahly FC,Ahmed Kendouci,6.79,25,6,0,4,0,0,0,14,3
233,Ismaily,Mohamed Bayoumi,6.79,10,6,0,4,0,0,0,1,0
234,Tala'ea El-Gaish,Mohamed Shaaban,6.78,0,0,0,18,2,0,0,0,7
235,Modern Future FC,Abdelkabir El Ouady,6.78,37,13,0,6,0,0,0,17,5
236,Al-Mokawloon,John Okoli,6.78,15,3,0,15,0,0,0,11,6
237,Smouha,El-Hani Soliman,6.78,1,2,0,11,1,0,0,2,9
238,Ismaily,Karim El Deeb,6.78,19,12,0,13,0,0,0,7,0
239,Ceramica Cleopatra,Mohamed Metwally Canaria,6.78,36,25,0,12,0,0,0,19,5
240,Ceramica Cleopatra,Mohamed Nassef,6.78,2,2,0,2,0,0,0,0,0
241,Ceramica Cleopatra,Constant Wayou,6.78,7,1,0,1,0,0,0,0,0
242,Al-Masry,Amro Tarek,6.78,8,7,1,11,0,0,0,2,0
243,Smouha,Ahmed Hakam,6.77,16,32,1,133,1,0,0,8,9
244,Al-Mokawloon,Mohamed Magli,6.77,68,14,1,15,0,0,0,22,3
245,Al-Ittihad Alexandria,Mahmoud Abdel-Aziz,6.77,29,11,0,18,0,0,0,7,0
246,Pharco FC,Amr Gamal,6.77,11,1,0,8,0,0,0,5,2
247,Tala'ea El-Gaish,Islam Mohareb,6.77,45,18,0,6,0,0,0,33,0
248,Al Ahly FC,Ahmed Nabil Koka,6.77,14,4,0,4,0,0,0,8,1
249,Al Ahly FC,Percy Tau,6.77,13,13,0,0,0,0,0,10,3
250,National Bank of Egypt,Ahmed El Aash,6.77,12,20,1,33,1,0,0,4,3
251,Modern Future FC,Ahmed Atef,6.77,9,5,0,0,0,0,0,9,2
252,Pyramids FC,Fakhreddine Ben Youssef,6.77,5,3,0,1,0,0,0,2,0
253,Al-Ittihad Alexandria,Ibrahim Hassan,6.77,38,17,0,10,0,0,0,14,0
254,ENPPI,Ahmed Youssef,6.77,55,22,1,23,0,0,0,16,4
255,Al-Mokawloon,Louay Wael,6.77,5,1,0,6,0,0,0,1,0
256,Pharco FC,Jefferson Encada,6.77,25,28,0,37,0,0,0,7,7
257,Al-Ittihad Alexandria,Sobhy Soliman,6.77,1,0,0,2,0,0,1,3,2
258,Ceramica Cleopatra,Mohamed Ibrahim,6.76,33,10,0,5,0,0,0,25,4
259,Al Ahly FC,Shady Hussein,6.76,6,2,0,2,0,0,0,6,0
260,Al-Ittihad Alexandria,Ammar Hamdy,6.76,37,8,1,4,0,0,0,21,1
261,National Bank of Egypt,Karim Bambo,6.76,14,9,0,3,0,0,0,9,2
262,Pharco FC,Ahmed Awad,6.76,10,6,0,60,0,0,0,5,8
263,Al-Mokawloon,Mohamed Salem,6.75,1,0,0,5,0,0,0,1,0
264,Aswan SC,Malick Evouna,6.75,1,2,0,0,0,0,0,0,0
265,Al-Masry,Hossam Greisha,6.75,5,1,0,2,0,0,0,4,0
266,Aswan SC,Mustafa Anani,6.75,1,0,0,1,0,0,0,0,0
267,Al-Masry,Mohamed El Fayoumi,6.75,6,2,0,0,0,0,0,5,0
268,Pyramids FC,Hesham Mohamed,6.75,3,0,0,5,0,0,0,2,0
269,Tala'ea El-Gaish,Omar Radwan,6.75,0,0,2,7,0,0,0,1,4
270,Zamalek SC,Shikabala,6.75,5,0,0,0,0,0,0,4,0
271,El Dakhlya,Mostafa Fawzy,6.75,13,3,0,4,0,0,0,3,0
272,National Bank of Egypt,Mahmoud Sayed,6.75,32,12,0,11,0,0,0,4,2
273,Tala'ea El-Gaish,Hassan Magdy,6.74,10,9,0,15,0,0,0,1,1
274,El Dakhlya,Ali El Zahdi,6.74,8,12,0,15,0,0,0,5,0
275,Smouha,Dokou Dodo,6.74,63,24,1,33,0,0,0,20,9
276,Ghazl El Mahalla,Ahmed Mayhoub,6.74,1,1,0,26,0,0,0,2,3
277,ENPPI,Mohamed Hamed,6.74,35,17,1,66,0,0,0,4,5
278,Ismaily,Karim Arafat,6.74,24,10,0,15,0,0,0,5,2
279,Smouha,Sodiq Awujoola,6.74,17,7,0,9,0,0,0,15,1
280,Ceramica Cleopatra,Mahmoud Bolbol Nabil,6.74,19,5,0,3,0,0,0,4,1
281,Zamalek SC,Hatem Mohamed,6.74,22,11,0,13,0,0,0,6,2
282,El Dakhlya,Mahmoud Talaat,6.74,59,27,0,36,1,0,0,17,6
283,El Dakhlya,Kelechi Chimezie,6.74,69,52,1,26,0,0,0,26,8
284,Al-Mokawloon,Amir Abed,6.74,24,17,1,46,0,0,1,4,2
285,Pharco FC,Mohamed Ahmed Fouad,6.74,22,6,0,5,0,1,0,5,0
286,Ghazl El Mahalla,Ehab Samir,6.73,50,30,0,33,1,0,0,19,3
287,Aswan SC,Amr Hossam,6.73,1,1,2,35,2,1,0,0,5
288,El Dakhlya,Ahmed Sayed Abdelnaby,6.73,61,40,1,36,0,0,1,13,6
289,Al-Mokawloon,Ahmed Fawzi,6.73,16,8,0,7,0,0,0,9,2
290,National Bank of Egypt,Ahmed Said,6.73,15,11,0,6,0,0,0,8,0
291,Smouha,Benjamin Bernard Boateng,6.73,5,1,0,9,0,0,0,7,1
292,Aswan SC,Dilson,6.73,8,4,0,13,0,0,0,8,1
293,Pyramids FC,Dodo El Gabas,6.73,1,0,0,1,0,0,0,0,0
294,ENPPI,Ahmed Eid,6.73,16,7,0,18,0,0,0,4,2
295,Ghazl El Mahalla,Mohamed Bazoka,6.73,41,28,1,100,1,0,1,16,5
296,Al Ahly FC,Ahmed Abdelkader,6.73,18,9,0,1,0,0,0,13,1
