#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
119,Al-Mokawloon,Ahmed Alaa Eldin,6.90,1,4,13,72.22,26,8,12,6,3.85,2,1,0,1,0,1,0,0,0,1,1,4,50.0,0.0
120,Pharco FC,Rezki Hamroune,6.90,8,4,31,50.82,46,22,15,9,17.39,4,2,0,3,0,8,0,0,1,7,1,3,50.0,0.0
121,Ceramica Cleopatra,Seif Teka,6.90,2,1,0,0.0,9,3,6,0,22.22,0,0,0,0,0,2,0,2,0,0,0,0,0.0,0.0
122,Al-Ittihad Alexandria,Omar Fathy,6.90,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123,Pyramids FC,Ahmed Fathi,6.90,0,0,5,83.33,4,1,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124,Ismaily,Abdallah El Saeed,6.90,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
125,El Dakhlya,Salah Yehia,6.90,0,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
126,Ismaily,Mostafa Fares,6.90,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
127,National Bank of Egypt,Ahmed Sobhi,6.90,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
128,Ceramica Cleopatra,Ahmed Hany,6.90,0,0,12,63.16,5,1,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
129,Aswan SC,Raphael Ayagwa,6.90,0,0,10,62.5,19,3,13,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
130,Aswan SC,Mido Mostafa,6.90,1,1,24,63.16,16,4,7,5,6.25,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0
131,Ismaily,Baher El Mohamady,6.90,2,1,6,66.67,12,4,8,0,16.67,2,1,0,1,0,2,0,0,1,1,1,0,50.0,0.0
132,Ismaily,Abdel Rahman Magdi,6.89,1,0,23,47.92,37,7,16,14,2.7,0,0,0,5,0,1,0,0,1,0,1,4,0.0,0.0
133,ENPPI,Ali Fawzi,6.89,4,0,14,40.0,26,7,8,11,15.38,3,3,0,3,0,4,0,0,1,3,0,2,100.0,0.0
134,Al-Masry,Imadeddine Boubekeur,6.89,0,0,2,100.0,11,2,5,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
135,Al Ahly FC,Kahraba,6.89,7,7,2,18.18,32,19,10,3,21.88,0,0,1,1,0,6,1,2,2,3,1,13,0.0,0.0
136,ENPPI,Ahmed El Agouz,6.89,2,0,2,40.0,8,2,6,0,25.0,0,0,0,0,0,1,1,0,0,2,0,0,0.0,0.0
137,Al-Ittihad Alexandria,Abdallah Nasib,6.89,1,1,0,0.0,4,1,3,0,25.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
138,Al-Mokawloon,Abdelrahman Khaled Gebna,6.89,5,1,13,41.94,35,10,17,8,14.29,0,0,0,2,1,3,2,0,1,4,1,2,0.0,50.0
139,Al-Ittihad Alexandria,Khaled El Ghandour,6.89,2,4,10,50.0,35,11,11,13,5.71,0,0,1,3,0,1,1,0,1,1,1,1,0.0,0.0
140,Zamalek SC,Ibrahima Ndiaye,6.89,4,4,17,45.95,25,10,12,3,16.0,0,0,0,0,0,4,0,1,3,0,2,4,0.0,0.0
141,National Bank of Egypt,Mahmoud El-Gazzar,6.88,0,0,6,85.71,4,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
142,National Bank of Egypt,Mahmoud Kaoud,6.88,4,3,6,40.0,36,11,23,2,11.11,0,0,0,0,0,4,0,0,2,2,0,5,0.0,0.0
143,Zamalek SC,Mostafa El Zenary,6.88,0,0,3,60.0,4,1,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
144,Modern Future FC,Ahmed Refaat,6.88,0,0,7,46.67,7,2,2,3,0.0,0,0,0,1,0,0,0,0,0,0,1,2,0.0,0.0
145,Ceramica Cleopatra,Marouane Sahraoui,6.88,0,0,0,0.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
146,Pharco FC,Mahmoud Hamada,6.88,3,0,18,51.43,17,5,8,4,17.65,0,0,0,1,0,2,1,1,1,1,0,4,0.0,0.0
147,Al-Masry,Amr Moussa,6.88,0,0,6,60.0,5,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
148,Modern Future FC,Omar Kamal,6.88,3,0,19,54.29,17,4,5,8,17.65,0,0,0,0,0,3,0,1,0,2,0,5,0.0,0.0
149,Al Ahly FC,Taher Mohamed,6.88,3,1,14,35.9,20,8,10,2,15.0,1,1,1,1,0,3,0,0,1,2,0,2,100.0,0.0
150,ENPPI,Ahmed Sebiha,6.88,0,0,3,100.0,4,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
151,Al Ahly FC,Mohamed Sherif,6.88,11,8,12,54.55,58,25,20,13,18.97,0,0,0,1,0,11,0,2,3,6,1,33,0.0,0.0
152,Haras El Hedoud,Islam Abdallah,6.88,1,0,1,20.0,3,1,1,1,33.33,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
