Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
11/08/21,Pyramids,Al-Masry,None,None,Canceled,https://www.sofascore.com/pyramids-fc-al-masry/kwrscavb#9503178,9503178
12/08/21,Ceramica Cleopatra,El Mahalla,None,None,Canceled,https://www.sofascore.com/ceramica-cleopatra-ghazl-el-mahalla/uqysxHYc#9503186,9503186
12/08/21,Al-Mokawloon,El Gouna,2,1,FT,https://www.sofascore.com/el-gouna-fc-al-mokawloon/pXqspwr#9689928,9689928
12/08/21,Ismaily,Zamalek,None,None,Canceled,https://www.sofascore.com/zamalek-sc-ismaily/qXqstXq#9503174,9503174
12/08/21,National Bank,Aswan,2,2,FT,https://www.sofascore.com/national-bank-of-egypt-aswan-sc/DFIbsBHgc#9690023,9690023
12/08/21,Al Ahly,ENPPI,None,None,Canceled,https://www.sofascore.com/enppi-al-ahly-fc/kNcsowr#9503183,9503183
12/08/21,Pyramids,Al-Masry,0,1,FT,https://www.sofascore.com/pyramids-fc-al-masry/kwrscavb#9689937,9689937
13/08/21,Smouha,El-Gaish,4,2,FT,https://www.sofascore.com/smouha-talaea-el-gaish/lwrsnwr#9689919,9689919
13/08/21,Wadi Degla,Al-Ittihad,0,0,FT,https://www.sofascore.com/wadi-degla-al-ittihad-alexandria/Mdostwr#9689955,9689955
14/08/21,Ceramica Cleopatra,El Mahalla,1,1,FT,https://www.sofascore.com/ceramica-cleopatra-ghazl-el-mahalla/uqysxHYc#9689918,9689918
14/08/21,Ismaily,Zamalek,0,2,FT,https://www.sofascore.com/zamalek-sc-ismaily/qXqstXq#9689929,9689929
14/08/21,Al Ahly,ENPPI,2,0,FT,https://www.sofascore.com/enppi-al-ahly-fc/kNcsowr#9689931,9689931
15/08/21,El-Entag,El-Makkasa,2,1,FT,https://www.sofascore.com/el-entag-el-harby-misr-el-makkasa/jwrsmwr#9689917,9689917
16/08/21,Aswan,Al-Mokawloon,1,2,FT,https://www.sofascore.com/aswan-sc-al-mokawloon/pXqsDFIb#9689694,9689694
16/08/21,El Gouna,Pyramids,1,2,FT,https://www.sofascore.com/pyramids-fc-el-gouna-fc/pwrscavb#9689708,9689708
16/08/21,Al-Masry,Smouha,0,1,FT,https://www.sofascore.com/smouha-al-masry/kwrsnwr#9689703,9689703
17/08/21,Al-Ittihad,Ceramica Cleopatra,0,0,FT,https://www.sofascore.com/ceramica-cleopatra-al-ittihad-alexandria/MdosxHYc#9689706,9689706
17/08/21,ENPPI,Ismaily,2,1,FT,https://www.sofascore.com/enppi-ismaily/qXqsowr#9689707,9689707
17/08/21,El-Gaish,Al Ahly,0,0,FT,https://www.sofascore.com/talaea-el-gaish-al-ahly-fc/kNcslwr#9689705,9689705
17/08/21,Zamalek,Wadi Degla,1,0,FT,https://www.sofascore.com/wadi-degla-zamalek-sc/tXqstwr#9689709,9689709
18/08/21,El Mahalla,El-Entag,1,3,FT,https://www.sofascore.com/ghazl-el-mahalla-el-entag-el-harby/mwrsuqy#9689704,9689704
18/08/21,El-Makkasa,National Bank,3,5,FT,https://www.sofascore.com/national-bank-of-egypt-misr-el-makkasa/jwrsBHgc#9689710,9689710
19/08/21,Pyramids,Aswan,2,0,FT,https://www.sofascore.com/aswan-sc-pyramids-fc/cavbsDFIb#9689695,9689695
20/08/21,Ismaily,Wadi Degla,0,2,FT,https://www.sofascore.com/wadi-degla-ismaily/qXqstwr#9689697,9689697
20/08/21,Al Ahly,Al-Masry,4,2,FT,https://www.sofascore.com/al-masry-al-ahly-fc/kNcskwr#9689702,9689702
20/08/21,Ceramica Cleopatra,Zamalek,1,2,FT,https://www.sofascore.com/ceramica-cleopatra-zamalek-sc/tXqsxHYc#9689699,9689699
20/08/21,ENPPI,El-Gaish,1,1,FT,https://www.sofascore.com/enppi-talaea-el-gaish/lwrsowr#9689700,9689700
